"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2022","Rodón, Carlos","607074","Giants","SF","L",95.5,"1826","2985",18.425925925925927,0.6117252931323283,"FF","4-Seam Fastball",12,-13,1,"8",6,-6.2,-0.2,"-3",0.7128953771289538,0.41849148418491483
"2022","Burnes, Corbin","669203","Brewers","MIL","R",95.1,"1813","3274",20.209876543209877,0.5537568723274282,"FC","Cutter",18.6,-19.4,0.7,"4",4.4,2.9,1.5,"52",0.6842105263157895,0.7819548872180451
"2022","Cole, Gerrit","543037","Yankees","NYY","R",97.8,"1698","3274",20.209876543209877,0.5186316432498472,"FF","4-Seam Fastball",10.5,-12.9,2.4,"19",10.4,-8.2,2.2,"27",0.948905109489051,0.7104622871046229
"2022","Gilbert, Logan","669302","Mariners","SEA","R",96.1,"1625","3015",18.61111111111111,0.538971807628524,"FF","4-Seam Fastball",11.9,-12.7,0.8,"7",6.4,-6.8,-0.3,"-5",0.656934306569343,0.40145985401459855
"2022","Pivetta, Nick","601713","Red Sox","BOS","R",93.4,"1572","3082",19.02469135802469,0.5100584036340039,"FF","4-Seam Fastball",10.9,-13.7,2.8,"21",5.1,-5.6,-0.6,"-10",0.9732360097323601,0.36982968369829683
"2022","McKenzie, Triston","663474","Guardians","CLE","R",92.5,"1570","2807",17.32716049382716,0.5593159957249733,"FF","4-Seam Fastball",11.6,-14.4,2.8,"20",3,-5.7,-2.7,"-47",0.9732360097323601,0.1873479318734793
"2022","Javier, Cristian","664299","Astros","HOU","R",93.8,"1535","2554",15.765432098765432,0.601018010963195,"FF","4-Seam Fastball",12.3,-15.3,3,"19",7.3,-7.9,-0.6,"-7",0.9829683698296837,0.36982968369829683
"2022","Strider, Spencer","675911","Braves","ATL","R",98.2,"1524","2277",14.055555555555555,0.6693017127799736,"FF","4-Seam Fastball",10.7,-12.5,1.8,"14",5.1,-7.8,-2.7,"-35",0.8905109489051095,0.1873479318734793
"2022","Valdez, Framber","664285","Astros","HOU","L",93.9,"1475","3018",18.62962962962963,0.4887342611000663,"SI","Sinker",24.2,-21.2,3,"14",14.4,-14.7,-0.3,"-2",0.8582677165354331,0.4015748031496063
"2022","Ryan, Joe","657746","Twins","MIN","R",92,"1438","2391",14.75925925925926,0.6014219991635299,"FF","4-Seam Fastball",17.5,-17.4,-0.1,"0",10.7,-9.3,1.5,"16",0.48905109489051096,0.6593673965936739
"2022","Gallen, Zac","668678","D-backs","AZ","R",94.1,"1410","2935",18.117283950617285,0.4804088586030664,"FF","4-Seam Fastball",13.4,-14.5,1.1,"8",3.4,-7.1,-3.7,"-52",0.732360097323601,0.11678832116788321
"2022","Urquidy, José","664353","Astros","HOU","R",93.5,"1392","2640",16.296296296296298,0.5272727272727272,"FF","4-Seam Fastball",11.7,-14.3,2.7,"19",7.7,-6.5,1.2,"19",0.9659367396593674,0.6228710462287105
"2022","Gausman, Kevin","592332","Blue Jays","TOR","R",95,"1358","2783",17.179012345679013,0.4879626302551204,"FF","4-Seam Fastball",13.1,-14.1,1,"7",10.5,-7.2,3.3,"46",0.7128953771289538,0.8467153284671532
"2022","Cease, Dylan","656302","White Sox","CWS","R",87.4,"1338","3120",19.25925925925926,0.4288461538461538,"SL","Slider",35,-33.3,1.7,"5",4,4,-0.1,"-1",0.7034700315457413,0.5047318611987381
"2022","Quantrill, Cal","615698","Guardians","CLE","R",93.6,"1317","2920",18.02469135802469,0.45102739726027397,"SI","Sinker",16.3,-20.3,-4,"-20",12.1,-14,-2,"-14",0.1062992125984252,0.1377952755905512
"2022","Verlander, Justin","434378","Astros","HOU","R",95,"1314","2607",16.09259259259259,0.5040276179516686,"FF","4-Seam Fastball",11.4,-12.2,0.8,"7",9.5,-6.1,3.4,"55",0.656934306569343,0.8588807785888077
"2022","Giolito, Lucas","608337","White Sox","CWS","R",92.6,"1312","2753",16.993827160493826,0.4765710134398838,"FF","4-Seam Fastball",13.9,-14.5,0.6,"4",5.4,-5.8,-0.4,"-7",0.610705596107056,0.39416058394160586
"2022","Snell, Blake","605483","Padres","SD","L",95.8,"1300","2341",14.450617283950617,0.5553182400683468,"FF","4-Seam Fastball",11.2,-12.7,1.5,"12",5.2,-5.8,-0.6,"-10",0.8442822384428224,0.36982968369829683
"2022","Urías, Julio","628711","Dodgers","LAD","L",93.1,"1290","2622",16.185185185185187,0.4919908466819222,"FF","4-Seam Fastball",14.9,-15.2,0.3,"2",3,-7.2,-4.2,"-58",0.5717761557177615,0.07785888077858881
"2022","Singer, Brady","663903","Royals","KC","R",93.8,"1278","2376",14.666666666666666,0.5378787878787878,"SI","Sinker",20.6,-22.7,-2.1,"-9",14.9,-15.5,-0.6,"-4",0.24803149606299213,0.32677165354330706
